frame,time_s,overall_clearance_m,ee_clearance_m,left_finger_clearance_m,right_finger_clearance_m,target_actual_error_m,normal_speed_into_table_m_s
0,0.0,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,0.0
1,0.033350000000000005,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
2,0.06670000000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
3,0.10005000000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
4,0.13340000000000002,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
5,0.16675,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
6,0.20010000000000003,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
7,0.23345000000000005,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
8,0.26680000000000004,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
9,0.30015000000000003,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
10,0.3335,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
11,0.36685000000000006,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
12,0.40020000000000006,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
13,0.43355000000000005,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
14,0.4669000000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
15,0.5002500000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
16,0.5336000000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
17,0.5669500000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
18,0.6003000000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
19,0.63365,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
20,0.667,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
21,0.7003500000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
22,0.7337000000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
23,0.7670500000000001,0.1299288421869278,inf,0.13086237013339996,0.1299288421869278,0.0,-0.0
24,0.8004000000000001,0.12990908324718475,inf,0.1308363825082779,0.12990908324718475,3.7885304209339665e-06,0.0005924719735048711
25,0.8337500000000001,0.1280204802751541,inf,0.1283576935529709,0.1280204802751541,3.6136161725153215e-06,0.05662977695465088
26,0.8671000000000001,0.12583748996257782,inf,0.12583748996257782,0.1260831505060196,3.7942425024084514e-06,0.06545698642730713
27,0.9004500000000001,0.1232636421918869,inf,0.1232636421918869,0.12408415973186493,3.854739588859957e-06,0.07717684656381607
28,0.9338000000000002,0.12069074809551239,inf,0.12069074809551239,0.1220773309469223,3.7481104300240986e-06,0.07714825123548508
29,0.9671500000000002,0.1181202381849289,inf,0.1181202381849289,0.12006328999996185,3.768257784031448e-06,0.07707676291465759
30,1.0005000000000002,0.11555273830890656,inf,0.11555273830890656,0.11804203689098358,3.8913167372811586e-06,0.07698650658130646
31,1.0338500000000002,0.1129894107580185,inf,0.1129894107580185,0.11601398885250092,3.7528616303461604e-06,0.07686139643192291
32,1.0672000000000001,0.11043111979961395,inf,0.11043111979961395,0.11397920548915863,3.944172931369394e-06,0.07671038061380386
33,1.1005500000000001,0.10787896811962128,inf,0.10787896811962128,0.11193825304508209,3.8057519304857124e-06,0.07652629166841507
34,1.1339000000000001,0.10533370077610016,inf,0.10533370077610016,0.10989125072956085,3.8867829061928205e-06,0.0763198658823967
35,1.1672500000000001,0.102796271443367,inf,0.102796271443367,0.10783843696117401,3.8677699194522575e-06,0.07608484476804733
36,1.2006000000000001,0.1002674549818039,inf,0.1002674549818039,0.10578016936779022,3.874819412885699e-06,0.07582658529281616
37,1.23395,0.09774814546108246,inf,0.09774814546108246,0.10371671617031097,3.896377620549174e-06,0.07554151862859726
38,1.2673,0.09523896872997284,inf,0.09523896872997284,0.10164807736873627,3.852951522276271e-06,0.0752376839518547
39,1.30065,0.09274078905582428,inf,0.09274078905582428,0.09957481920719147,3.908111921191448e-06,0.07490794360637665
40,1.334,0.09025467932224274,inf,0.09025467932224274,0.09749741852283478,3.877624749293318e-06,0.07454602420330048
41,1.3673500000000003,0.0877806693315506,inf,0.0877806693315506,0.09541560709476471,3.895912868756568e-06,0.07418321073055267
42,1.4007000000000003,0.08531995117664337,inf,0.08531995117664337,0.09333007037639618,3.8789125937910285e-06,0.07378465682268143
43,1.4340500000000003,0.08287285268306732,inf,0.08287285268306732,0.09124080836772919,3.9096330510801636e-06,0.07337626814842224
44,1.4674000000000003,0.08044014871120453,inf,0.08044014871120453,0.08914826810359955,3.939506314054597e-06,0.07294464856386185
45,1.5007500000000003,0.07802222669124603,inf,0.07802222669124603,0.0870525985956192,3.850905159197282e-06,0.07250141352415085
46,1.5341000000000002,0.07562001049518585,inf,0.07562001049518585,0.08495430648326874,3.82439293389325e-06,0.07203047722578049
47,1.5674500000000002,0.07323361933231354,inf,0.07323361933231354,0.08285345137119293,3.81487188860774e-06,0.071555957198143
48,1.6008000000000002,0.07086388766765594,inf,0.07086388766765594,0.08075051009654999,4.0960849219118245e-06,0.07105642557144165
49,1.6341500000000002,0.06851066648960114,inf,0.06851066648960114,0.07864530384540558,3.992934125562897e-06,0.07056135684251785
50,1.6675000000000002,0.06617505848407745,inf,0.06617505848407745,0.07653860747814178,4.010405973531306e-06,0.0700332298874855
51,1.7008500000000002,0.06385709345340729,inf,0.06385709345340729,0.07443051040172577,4.030068339488935e-06,0.06950420141220093
52,1.7342000000000002,0.06155713275074959,inf,0.06155713275074959,0.07232119143009186,4.01636907554348e-06,0.06896433979272842
53,1.7675500000000002,0.05927567556500435,inf,0.05927567556500435,0.07021118700504303,4.268012162356172e-06,0.0684095174074173
54,1.8009000000000002,0.05701272562146187,inf,0.05701272562146187,0.06810037791728973,4.0917070691648405e-06,0.06785457581281662
55,1.8342500000000002,0.054768968373537064,inf,0.054768968373537064,0.06598947942256927,4.077809535374399e-06,0.06727907806634903
56,1.8676000000000004,0.052544254809617996,inf,0.052544254809617996,0.06387849152088165,4.074904154549586e-06,0.06670805811882019
57,1.9009500000000004,0.05033891275525093,inf,0.05033891275525093,0.06176765635609627,3.952720817324007e-06,0.06612720340490341
58,1.9343000000000004,0.04815325513482094,inf,0.04815325513482094,0.05965747311711311,4.022043867735192e-06,0.06553696095943451
59,1.9676500000000003,0.04598744586110115,inf,0.04598744586110115,0.0575481541454792,4.05566424888093e-06,0.06494180858135223
60,2.0010000000000003,0.04384145513176918,inf,0.04384145513176918,0.05543987825512886,4.0826189433573745e-06,0.06434755027294159
61,2.0343500000000003,0.04171549156308174,inf,0.04171549156308174,0.053333062678575516,4.083733983861748e-06,0.06374703347682953
62,2.0677000000000003,0.039609599858522415,inf,0.039609599858522415,0.05122785642743111,4.170175998297054e-06,0.06314518302679062
63,2.1010500000000003,0.0375237800180912,inf,0.0375237800180912,0.049124542623758316,4.029257524962304e-06,0.06254332512617111
64,2.1344000000000003,0.035458240658044815,inf,0.035458240658044815,0.04702352359890938,4.060675564687699e-06,0.061935216188430786
65,2.1677500000000003,0.03341268375515938,inf,0.03341268375515938,0.044924814254045486,3.908090548065957e-06,0.06133604049682617
66,2.2011000000000003,0.03144470229744911,inf,0.03144470229744911,0.042895201593637466,1.7601711306269863e-06,0.059009943157434464
67,2.2344500000000003,0.031240928918123245,inf,0.031240928918123245,0.042897213250398636,1.9722658635146217e-06,0.006110146641731262
68,2.2678000000000003,0.031044546514749527,inf,0.031044546514749527,0.042909327894449234,1.6981604176180554e-06,0.005888528190553188
69,2.3011500000000003,0.030855078250169754,inf,0.030855078250169754,0.04293103888630867,1.7076666836146615e-06,0.005681207403540611
70,2.3345000000000002,0.03067285194993019,inf,0.03067285194993019,0.042962346225976944,1.8973250917042606e-06,0.0054640574380755424
71,2.3678500000000002,0.03049791231751442,inf,0.03049791231751442,0.043002936989068985,1.8224704945168924e-06,0.005245566368103027
72,2.4012000000000002,0.030330661684274673,inf,0.030330661684274673,0.043053124099969864,1.9740664356504567e-06,0.005015011876821518
73,2.43455,0.030170995742082596,inf,0.030170995742082596,0.043112386018037796,1.8257419469591696e-06,0.004787584766745567
74,2.4679,0.030019182711839676,inf,0.030019182711839676,0.04318087175488472,1.9753595097427024e-06,0.004552115220576525
75,2.50125,0.029875371605157852,inf,0.029875371605157852,0.04325840249657631,1.684968196968839e-06,0.004312177188694477
76,2.5346,0.02973966673016548,inf,0.02973966673016548,0.04334481433033943,2.160517396987416e-06,0.004069111775606871
77,2.56795,0.02961255982518196,inf,0.02961255982518196,0.043440330773591995,1.8258635918755317e-06,0.003811301663517952
78,2.6013,0.029493752866983414,inf,0.029493752866983414,0.04354438558220863,1.773676444827288e-06,0.0035624278243631124
79,2.63465,0.029383648186922073,inf,0.029383648186922073,0.04365711286664009,1.9126707684335997e-06,0.0033014898654073477
